N_STREAMS,N_BYTES_PER_STREAM,TOTAL_BYTES,ROUNDTRIP_TIME_NS
100,2700,540000,3866141
100,2710,542000,4015077
100,2720,544000,3219848
100,2730,546000,3014056
100,2740,548000,3887655
100,2750,550000,2188658
100,2760,552000,6014101
100,2770,554000,3282369
100,2780,556000,4517153
100,2790,558000,3324354
100,2800,560000,3008646
100,2810,562000,2441164
100,2820,564000,3701171
100,2830,566000,3801050
100,2840,568000,3212889
100,2850,570000,2867929
100,2860,572000,2202783
100,2870,574000,3841869
100,2880,576000,5116835
100,2890,578000,3745649
100,2900,580000,2739204
100,2910,582000,4043445
100,2920,584000,2928601
100,2930,586000,3070866
100,2940,588000,3512899
100,2950,590000,4959216
100,2960,592000,2395684
100,2970,594000,4260973
100,2980,596000,4299793
100,2990,598000,2826675
100,3000,600000,3652233
100,3010,602000,2882945
100,3020,604000,3550327
100,3030,606000,3156521
100,3040,608000,3411692
100,3050,610000,4008144
100,3060,612000,2634807
100,3070,614000,5364114
100,3080,616000,3266431
100,3090,618000,4035006
100,3100,620000,5504939
100,3110,622000,2187959
100,3120,624000,4483383
100,3130,626000,4586306
100,3140,628000,3415778
100,3150,630000,3269553
100,3160,632000,3943883
100,3170,634000,5894369
100,3180,636000,3003622
100,3190,638000,4060131
100,3200,640000,2116927
100,3210,642000,4632966
100,3220,644000,4404431
100,3230,646000,3669720
100,3240,648000,3556068
100,3250,650000,3132069
100,3260,652000,3084983
100,3270,654000,3483747
100,3280,656000,4749910
100,3290,658000,3372665
100,3300,660000,2686767
100,3310,662000,2274642
100,3320,664000,5001187
100,3330,666000,2504388
100,3340,668000,3284968
100,3350,670000,3076269
100,3360,672000,7219723
100,3370,674000,2285039
100,3380,676000,2347798
100,3390,678000,2429185
100,3400,680000,2763958
100,3410,682000,3871492
100,3420,684000,3905186
100,3430,686000,3871868
100,3440,688000,3309435
100,3450,690000,4056726
100,3460,692000,2622397
100,3470,694000,4076609
100,3480,696000,3103018
100,3490,698000,3436353
100,3500,700000,4192117
100,3510,702000,4280605
100,3520,704000,3998067
100,3530,706000,3626285
100,3540,708000,3102886
100,3550,710000,3401551
100,3560,712000,3200791
100,3570,714000,4681593
100,3580,716000,4146774
100,3590,718000,2519948
100,3600,720000,5892364
100,3610,722000,6688136
100,3620,724000,3436785
100,3630,726000,4968159
100,3640,728000,4701993
100,3650,730000,6641971
100,3660,732000,2836466
100,3670,734000,6402634
100,3680,736000,3169455
100,3690,738000,3268123
100,3700,740000,3181584
100,3710,742000,2551422
100,3720,744000,3336384
100,3730,746000,4933874
100,3740,748000,2393349
