seconds,nanoseconds
0,190644
0,27432
0,20278
0,18917
0,18947
0,19873
0,18359
0,18363
0,19123
0,18101
0,23956
0,19053
0,18840
0,17940
0,18422
0,18464
0,18178
0,18742
0,18138
0,18284
0,18602
0,17860
0,18139
0,18346
0,18432
0,18021
0,18354
0,18496
0,18436
0,18213
0,18334
0,18431
0,18419
0,17712
0,18163
0,18612
0,95806
0,2045078
0,19171
0,18695
0,19334
0,18793
0,18850
0,19031
0,18805
0,18662
0,18652
0,18221
0,1036985
0,19511
0,1034171
0,19454
0,17830
0,18053
0,26800
0,20512
0,1033895
0,19233
0,18367
0,18299
0,18040
0,1034619
0,19223
0,18466
0,17890
0,18188
0,18454
0,18293
0,18314
0,18306
0,18215
0,27472
0,20775
0,18902
0,18417
0,19346
0,18432
0,18541
0,18727
0,18163
0,20346
0,18504
0,18795
0,19692
0,19183
0,19522
0,19444
0,22659
0,19234
0,18419
0,17973
0,19041
0,18496
0,18727
0,18161
0,17902
0,18143
0,18454
0,18441
0,18018
