seconds,nanoseconds
0,189718
0,3074223
0,7213421
0,3066335
0,23644
0,2050534
0,2052496
0,1053416
0,22619
0,5088428
0,2050461
0,1037429
0,6100883
0,22201
0,1037895
0,1036755
0,2049929
0,22108
0,1036839
0,22231
0,3068656
0,21456
0,21594
0,21752
0,22116
0,22085
0,22557
0,21896
0,1035481
0,1036439
0,21784
0,5106503
0,22900
0,5087886
0,21524
0,2049734
0,3061654
0,1037752
0,21684
0,4076142
0,37057
0,29397
0,3060985
0,1036548
0,1035959
0,2051554
0,22719
0,20960
0,21213
0,1038248
0,22176
0,3062446
0,6101921
0,21903
0,1036705
0,1037208
0,2051115
0,2051185
0,1037269
0,3064069
0,4078757
0,22427
0,1037278
0,4073344
0,1036045
0,21910
0,1035557
0,1043120
0,1037068
0,1036617
0,1059827
0,45116
0,1037361
0,21529
0,21110
0,21283
0,20890
0,3062315
0,1039998
0,22471
0,1038303
0,22339
0,21125
0,1036717
0,22236
0,28763
0,88833
0,25031
0,21519
0,1039170
0,22148
0,1037186
0,1037844
0,21908
0,21088
0,5091764
0,2051641
0,1036474
0,22304
0,1036865
