N_STREAMS,N_BYTES_PER_STREAM,TOTAL_BYTES,ROUNDTRIP_TIME_NS
100,2700,540000,2867606
100,2710,542000,2541914
100,2720,544000,2441187
100,2730,546000,2603213
100,2740,548000,2373781
100,2750,550000,2561305
100,2760,552000,2738304
100,2770,554000,2935278
100,2780,556000,2725346
100,2790,558000,2474580
100,2800,560000,3220213
100,2810,562000,2236987
100,2820,564000,2387722
100,2830,566000,2922172
100,2840,568000,2822751
100,2850,570000,2869765
100,2860,572000,2479929
100,2870,574000,2917074
100,2880,576000,2853682
100,2890,578000,2795915
100,2900,580000,2615808
100,2910,582000,2804079
100,2920,584000,2839852
100,2930,586000,2685034
100,2940,588000,2439527
100,2950,590000,2495599
100,2960,592000,2504316
100,2970,594000,2611923
100,2980,596000,2957022
100,2990,598000,2556881
100,3000,600000,2440646
100,3010,602000,2880186
100,3020,604000,2396849
100,3030,606000,2345853
100,3040,608000,2766926
100,3050,610000,2362867
100,3060,612000,2552728
100,3070,614000,2462334
100,3080,616000,5301010
100,3090,618000,3577629
100,3100,620000,3595332
100,3110,622000,3146859
100,3120,624000,2464587
100,3130,626000,2634536
100,3140,628000,3068140
100,3150,630000,3157090
100,3160,632000,2456082
100,3170,634000,2999630
100,3180,636000,2186289
100,3190,638000,1940630
100,3200,640000,2137485
100,3210,642000,1929708
100,3220,644000,2903593
100,3230,646000,2823274
100,3240,648000,2638733
100,3250,650000,2622214
100,3260,652000,2642648
100,3270,654000,2958860
100,3280,656000,2456729
100,3290,658000,2613938
100,3300,660000,2464765
100,3310,662000,3010692
100,3320,664000,2603324
100,3330,666000,2659805
100,3340,668000,2815042
100,3350,670000,2301281
100,3360,672000,2235462
100,3370,674000,2800494
100,3380,676000,2768561
100,3390,678000,2404959
100,3400,680000,2556732
100,3410,682000,2997062
100,3420,684000,2688774
100,3430,686000,2672405
100,3440,688000,2799416
100,3450,690000,2533456
100,3460,692000,2725955
100,3470,694000,2493963
100,3480,696000,2824195
100,3490,698000,2605097
100,3500,700000,2563013
100,3510,702000,2948552
100,3520,704000,2843192
100,3530,706000,2788412
100,3540,708000,2505950
100,3550,710000,3259323
100,3560,712000,2724945
100,3570,714000,2587603
100,3580,716000,2615329
100,3590,718000,2903461
100,3600,720000,2426252
100,3610,722000,2364670
100,3620,724000,2748558
100,3630,726000,2861518
100,3640,728000,2691700
100,3650,730000,2602980
100,3660,732000,2852811
100,3670,734000,2550493
100,3680,736000,2329122
100,3690,738000,2562811
100,3700,740000,2888491
100,3710,742000,2815031
100,3720,744000,2546324
100,3730,746000,2819131
100,3740,748000,2608598
100,3750,750000,2261899
100,3760,752000,2498136
100,3770,754000,2869237
100,3780,756000,2653961
100,3790,758000,2710242
100,3800,760000,3034312
100,3810,762000,2608661
100,3820,764000,2661175
100,3830,766000,2641935
100,3840,768000,2926897
100,3850,770000,2606383
100,3860,772000,2606313
100,3870,774000,2584617
100,3880,776000,3419742
100,3890,778000,2711789
100,3900,780000,2797389
100,3910,782000,2744554
100,3920,784000,5465992
100,3930,786000,2448937
100,3940,788000,2301502
100,3950,790000,2661481
100,3960,792000,3220531
100,3970,794000,2994656
100,3980,796000,2749615
100,3990,798000,3037974
100,4000,800000,3012998
100,4010,802000,2661896
100,4020,804000,2704020
100,4030,806000,2329981
100,4040,808000,3546462
100,4050,810000,3018278
100,4060,812000,2860912
100,4070,814000,2548839
100,4080,816000,2478098
100,4090,818000,2749186
100,4100,820000,3018243
