N_STREAMS,N_BYTES_PER_STREAM,TOTAL_BYTES,ROUNDTRIP_TIME_NS
100,2700,540000,6410277
100,2710,542000,6762980
100,2720,544000,7195981
100,2730,546000,6998602
100,2740,548000,6769034
100,2750,550000,6247676
100,2760,552000,6466884
100,2770,554000,6758306
100,2780,556000,6559461
100,2790,558000,6509001
100,2800,560000,6679097
100,2810,562000,6322243
100,2820,564000,6379805
100,2830,566000,6528699
100,2840,568000,6506416
100,2850,570000,6673053
100,2860,572000,6829007
100,2870,574000,7512334
100,2880,576000,7577617
100,2890,578000,7327336
100,2900,580000,7241087
100,2910,582000,7185485
100,2920,584000,7040647
100,2930,586000,7058201
100,2940,588000,7460064
100,2950,590000,7197833
100,2960,592000,7118708
100,2970,594000,6788742
100,2980,596000,6880174
100,2990,598000,6691069
100,3000,600000,6982367
100,3010,602000,6924961
100,3020,604000,7165383
100,3030,606000,7621437
100,3040,608000,7163053
100,3050,610000,7496032
100,3060,612000,7633224
100,3070,614000,7698567
100,3080,616000,7627161
100,3090,618000,7602280
100,3100,620000,7329786
100,3110,622000,7237187
100,3120,624000,7280960
100,3130,626000,7694197
100,3140,628000,7469967
100,3150,630000,7738822
100,3160,632000,7201108
100,3170,634000,7408052
100,3180,636000,7674590
100,3190,638000,8015291
100,3200,640000,7726376
100,3210,642000,7550277
100,3220,644000,7631984
100,3230,646000,7660814
100,3240,648000,7483649
100,3250,650000,8284802
100,3260,652000,7092649
100,3270,654000,7520196
100,3280,656000,7327181
100,3290,658000,7490753
100,3300,660000,7385065
100,3310,662000,7305929
100,3320,664000,7461568
100,3330,666000,8765741
100,3340,668000,7975086
100,3350,670000,7508489
100,3360,672000,7793852
100,3370,674000,8014192
100,3380,676000,8128033
100,3390,678000,7875608
100,3400,680000,7987098
100,3410,682000,8105313
100,3420,684000,7828943
100,3430,686000,7936848
100,3440,688000,8129739
100,3450,690000,8205758
100,3460,692000,8277607
100,3470,694000,8569385
100,3480,696000,7761024
100,3490,698000,7967411
100,3500,700000,8198333
100,3510,702000,8180119
100,3520,704000,8349072
100,3530,706000,8109451
100,3540,708000,8040206
100,3550,710000,8421439
100,3560,712000,8090678
100,3570,714000,7971376
100,3580,716000,9094480
100,3590,718000,8729591
100,3600,720000,8263272
100,3610,722000,8503036
100,3620,724000,7794495
100,3630,726000,8607487
100,3640,728000,8507391
100,3650,730000,8321626
100,3660,732000,8375837
100,3670,734000,8527250
100,3680,736000,8904790
100,3690,738000,8744684
100,3700,740000,8186990
100,3710,742000,7824772
100,3720,744000,8190233
100,3730,746000,7886681
100,3740,748000,8283611
100,3750,750000,8445704
100,3760,752000,8953111
100,3770,754000,8467854
100,3780,756000,8570728
100,3790,758000,8503240
100,3800,760000,8630300
100,3810,762000,8558915
100,3820,764000,8782200
100,3830,766000,8273102
100,3840,768000,8650512
100,3850,770000,8262346
100,3860,772000,8945710
100,3870,774000,8131330
100,3880,776000,8823177
