N_STREAMS,N_BYTES_PER_STREAM,TOTAL_BYTES,ROUNDTRIP_TIME_NS
100,2700,540000,7353977
100,2710,542000,7212683
100,2720,544000,6860308
100,2730,546000,6990207
100,2740,548000,6915861
100,2750,550000,6314428
100,2760,552000,6265154
100,2770,554000,6697173
100,2780,556000,7401872
100,2790,558000,6780149
100,2800,560000,6669577
100,2810,562000,6966632
100,2820,564000,7308164
100,2830,566000,6368880
100,2840,568000,7489266
100,2850,570000,7039125
100,2860,572000,7403115
100,2870,574000,7158969
100,2880,576000,7230559
100,2890,578000,6628334
100,2900,580000,6920869
100,2910,582000,7331727
100,2920,584000,6795183
100,2930,586000,6965661
100,2940,588000,7331381
100,2950,590000,7204255
100,2960,592000,8198501
100,2970,594000,7200978
100,2980,596000,7524793
100,2990,598000,7327808
100,3000,600000,7689616
100,3010,602000,7309017
100,3020,604000,8471931
100,3030,606000,7836364
100,3040,608000,7464757
100,3050,610000,7294392
100,3060,612000,7771014
100,3070,614000,8547857
100,3080,616000,7020281
100,3090,618000,8024331
100,3100,620000,7390306
100,3110,622000,7754972
100,3120,624000,7542195
100,3130,626000,7574400
100,3140,628000,7554871
100,3150,630000,7164098
100,3160,632000,7215860
100,3170,634000,8284090
100,3180,636000,7534727
100,3190,638000,7593598
100,3200,640000,7432433
100,3210,642000,7842919
100,3220,644000,7603905
100,3230,646000,7544397
100,3240,648000,9180841
100,3250,650000,7478116
100,3260,652000,9066929
100,3270,654000,8050977
100,3280,656000,7689171
100,3290,658000,8624106
100,3300,660000,7221701
100,3310,662000,7992266
100,3320,664000,8043856
100,3330,666000,7628515
100,3340,668000,8284908
100,3350,670000,7790624
100,3360,672000,7644442
100,3370,674000,7757727
100,3380,676000,8576366
100,3390,678000,8071593
100,3400,680000,7864027
100,3410,682000,7686572
100,3420,684000,7489616
100,3430,686000,8661706
100,3440,688000,8091816
100,3450,690000,8620810
100,3460,692000,8121587
100,3470,694000,8462892
100,3480,696000,8362287
100,3490,698000,9173077
100,3500,700000,7750681
100,3510,702000,7620054
100,3520,704000,7549574
100,3530,706000,9911119
100,3540,708000,8481378
100,3550,710000,8509517
100,3560,712000,8700559
100,3570,714000,8828827
100,3580,716000,8036595
100,3590,718000,8289677
100,3600,720000,8732820
100,3610,722000,8050713
100,3620,724000,8430173
100,3630,726000,8843088
100,3640,728000,8300391
100,3650,730000,8364364
100,3660,732000,8161529
100,3670,734000,8883273
100,3680,736000,8778387
100,3690,738000,8836259
100,3700,740000,8481332
100,3710,742000,8515809
100,3720,744000,8214178
100,3730,746000,8843853
100,3740,748000,8599413
100,3750,750000,8484896
100,3760,752000,8968283
100,3770,754000,9905399
100,3780,756000,8569134
100,3790,758000,8824895
100,3800,760000,9274724
100,3810,762000,8923745
100,3820,764000,9544893
100,3830,766000,8650023
100,3840,768000,8553351
100,3850,770000,8836352
100,3860,772000,9011752
100,3870,774000,8878751
100,3880,776000,8997396
100,3890,778000,9294259
100,3900,780000,8849997
100,3910,782000,8769420
100,3920,784000,9189184
100,3930,786000,8897804
100,3940,788000,8995262
100,3950,790000,9028353
100,3960,792000,8676600
100,3970,794000,9278422
100,3980,796000,8764055
100,3990,798000,9328066
100,4000,800000,9918555
100,4010,802000,9297507
100,4020,804000,9399967
100,4030,806000,9459404
100,4040,808000,8952765
100,4050,810000,8639549
100,4060,812000,8457791
100,4070,814000,8680315
100,4080,816000,8620986
100,4090,818000,8666454
100,4100,820000,8715425
100,4110,822000,9037861
100,4120,824000,9403928
100,4130,826000,9035059
100,4140,828000,9907893
100,4150,830000,8936589
100,4160,832000,8904051
100,4170,834000,9815054
100,4180,836000,10091339
100,4190,838000,9609360
100,4200,840000,9327298
100,4210,842000,9388272
100,4220,844000,10470108
100,4230,846000,9449794
100,4240,848000,9330311
100,4250,850000,9483819
100,4260,852000,9453398
100,4270,854000,9453107
100,4280,856000,10344494
100,4290,858000,9664824
100,4300,860000,11155898
100,4310,862000,9691739
100,4320,864000,9845456
100,4330,866000,10672470
100,4340,868000,10282202
100,4350,870000,9881092
100,4360,872000,9664940
100,4370,874000,9480122
100,4380,876000,10140926
100,4390,878000,9158689
100,4400,880000,9549375
100,4410,882000,9756101
100,4420,884000,9974412
100,4430,886000,9180514
100,4440,888000,10341199
100,4450,890000,10381831
100,4460,892000,10564745
100,4470,894000,10243935
100,4480,896000,9776195
100,4490,898000,10757882
100,4500,900000,10354442
100,4510,902000,10077154
100,4520,904000,10463615
100,4530,906000,10186822
100,4540,908000,10889944
100,4550,910000,10190005
100,4560,912000,10167604
100,4570,914000,10296626
100,4580,916000,10546839
100,4590,918000,10358151
100,4600,920000,10365109
100,4610,922000,10216063
100,4620,924000,10569114
100,4630,926000,10774392
100,4640,928000,10752039
100,4650,930000,10753281
100,4660,932000,10719836
100,4670,934000,10558632
100,4680,936000,10582964
100,4690,938000,10351435
100,4700,940000,10708371
100,4710,942000,9787535
100,4720,944000,9701514
100,4730,946000,9812078
100,4740,948000,10836527
100,4750,950000,10716687
100,4760,952000,10258638
100,4770,954000,10425832
100,4780,956000,10396561
100,4790,958000,10586128
100,4800,960000,10019888
100,4810,962000,10386244
100,4820,964000,10546403
100,4830,966000,9967642
100,4840,968000,10444816
100,4850,970000,10937764
100,4860,972000,10822659
100,4870,974000,10709354
100,4880,976000,10856837
100,4890,978000,10066132
100,4900,980000,10604628
100,4910,982000,10701432
100,4920,984000,11712979
100,4930,986000,11246473
100,4940,988000,10889481
100,4950,990000,10589574
100,4960,992000,11347658
100,4970,994000,12010687
100,4980,996000,11088881
100,4990,998000,10849852
100,5000,1000000,10609149
100,5010,1002000,11274400
100,5020,1004000,10882862
100,5030,1006000,10708830
100,5040,1008000,10804601
100,5050,1010000,10731932
100,5060,1012000,10463534
100,5070,1014000,11045197
100,5080,1016000,11185603
100,5090,1018000,12060525
100,5100,1020000,10880063
100,5110,1022000,10863305
100,5120,1024000,11669019
100,5130,1026000,11651274
100,5140,1028000,12252137
100,5150,1030000,11866488
100,5160,1032000,11036165
100,5170,1034000,11689937
100,5180,1036000,11344297
100,5190,1038000,12261705
100,5200,1040000,11958405
100,5210,1042000,11258828
100,5220,1044000,12275887
100,5230,1046000,11248969
100,5240,1048000,11383107
100,5250,1050000,12224050
100,5260,1052000,12929926
100,5270,1054000,12088068
100,5280,1056000,12016880
100,5290,1058000,12536120
100,5300,1060000,11170946
100,5310,1062000,11628470
100,5320,1064000,11862739
100,5330,1066000,12019748
100,5340,1068000,11814531
100,5350,1070000,12120826
100,5360,1072000,11968528
100,5370,1074000,11330628
100,5380,1076000,11420150
100,5390,1078000,11882136
100,5400,1080000,11602961
100,5410,1082000,11815908
100,5420,1084000,11620136
100,5430,1086000,11450690
100,5440,1088000,11338345
100,5450,1090000,12543276
100,5460,1092000,12535600
100,5470,1094000,11407648
100,5480,1096000,11696185
100,5490,1098000,11656393
100,5500,1100000,11426869
100,5510,1102000,11160585
