seconds,nanoseconds
0,64442
0,27392
0,19667
0,19007
0,19421
0,19494
0,18852
0,18915
0,18627
0,18221
0,929051
0,33637
0,18928
0,19474
0,19236
0,19754
0,19066
0,18739
0,19341
0,19211
0,19040
0,19853
0,18764
0,19180
0,18714
0,22454
0,20181
0,19366
0,20056
0,18733
0,19457
0,19907
0,18815
0,18454
0,19098
0,19910
0,18773
0,19156
0,19522
0,30034
0,97495
0,19446
0,18392
0,18649
0,18907
0,18261
0,18454
0,18511
0,19291
0,18271
0,871304
0,28582
0,23875
0,19037
0,19577
0,18309
0,19045
0,18443
0,19271
0,18888
0,18657
0,18456
0,19534
0,18652
0,19343
0,18579
0,19166
0,18502
0,18414
0,18504
0,18534
0,18743
0,18354
0,18586
0,19432
0,18900
0,18689
0,18639
0,18695
0,19206
0,18088
0,17865
0,18025
0,18186
0,22790
0,267458
0,26005
0,19261
0,18729
0,18379
0,18552
0,19128
0,18392
0,17819
0,18888
0,608887
0,26978
0,19652
0,18537
0,18421
