N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,8443359
6,100,700,6111850
11,100,1200,4958086
16,100,1700,4918868
21,100,2200,12870073
26,100,2700,5101828
31,100,3200,5127370
36,100,3700,5116161
41,100,4200,5169694
46,100,4700,7995859
51,100,5200,5119764
56,100,5700,5350987
61,100,6200,5243471
66,100,6700,5431422
71,100,7200,5625997
76,100,7700,8281695
81,100,8200,5447962
86,100,8700,35842605
91,100,9200,18201455
96,100,9700,21900106
101,100,10200,23799808
106,100,10700,26330371
111,100,11200,18046814
116,100,11700,23816148
121,100,12200,27146401
126,100,12700,23301262
131,100,13200,20072657
136,100,13700,25132089
141,100,14200,18003892
146,100,14700,25130961
151,100,15200,21918456
156,100,15700,24877962
161,100,16200,28058139
166,100,16700,30935428
171,100,17200,21865182
176,100,17700,28268856
181,100,18200,21984367
186,100,18700,20161380
191,100,19200,28805972
196,100,19700,25765088
201,100,20200,24668022
206,100,20700,27852719
211,100,21200,22668464
216,100,21700,22544767
221,100,22200,22317081
226,100,22700,25375879
231,100,23200,24473338
236,100,23700,21289240
241,100,24200,13851692
246,100,24700,16322121
251,100,25200,25541221
256,100,25700,25774654
261,100,26200,26739033
266,100,26700,25737684
271,100,27200,19922181
276,100,27700,26518070
281,100,28200,28299850
286,100,28700,26203892
291,100,29200,33005468
296,100,29700,35460261
301,100,30200,24268775
306,100,30700,27890850
311,100,31200,32638560
316,100,31700,18644927
321,100,32200,19290056
326,100,32700,28746791
331,100,33200,24560210
336,100,33700,28391116
341,100,34200,25428297
346,100,34700,28396569
351,100,35200,29083044
356,100,35700,18715813
361,100,36200,24384581
366,100,36700,22377475
371,100,37200,32024375
376,100,37700,18822587
381,100,38200,29257778
386,100,38700,21790513
391,100,39200,22510995
396,100,39700,25095031
401,100,40200,26011521
406,100,40700,30549057
411,100,41200,26650459
416,100,41700,18652025
421,100,42200,21169817
426,100,42700,25376302
431,100,43200,22685505
436,100,43700,25133089
441,100,44200,32214764
446,100,44700,19660790
451,100,45200,30302270
456,100,45700,18693421
461,100,46200,21288780
466,100,46700,20255414
471,100,47200,22895204
476,100,47700,24251266
481,100,48200,20685605
486,100,48700,22718127
491,100,49200,22754440
496,100,49700,25089875
501,100,50200,18803533
506,100,50700,25728144
511,100,51200,33510596
516,100,51700,24561211
521,100,52200,29221316
526,100,52700,24143880
531,100,53200,26260960
536,100,53700,24117776
541,100,54200,21404482
546,100,54700,24869899
551,100,55200,25850226
556,100,55700,15519851
561,100,56200,25201609
566,100,56700,19426342
571,100,57200,26742637
576,100,57700,29510352
581,100,58200,22600764
586,100,58700,25756451
591,100,59200,24931025
596,100,59700,31487031
601,100,60200,36764077
606,100,60700,22688365
611,100,61200,28772156
616,100,61700,28197520
621,100,62200,20967815
626,100,62700,22031544
631,100,63200,26894192
636,100,63700,24978411
641,100,64200,26577253
646,100,64700,20503288
651,100,65200,22700954
656,100,65700,26016757
661,100,66200,22956563
666,100,66700,28400196
671,100,67200,22998337
676,100,67700,22708306
681,100,68200,28268937
686,100,68700,71989944
691,100,69200,28117370
696,100,69700,22454779
701,100,70200,55352731
706,100,70700,22721995
711,100,71200,20489175
716,100,71700,75992965
721,100,72200,24330702
726,100,72700,8785268
731,100,73200,40523483
736,100,73700,21547423
741,100,74200,42758254
746,100,74700,47602262
751,100,75200,20342188
756,100,75700,32183406
761,100,76200,47041816
766,100,76700,64859726
771,100,77200,25431436
776,100,77700,22398640
781,100,78200,60798074
786,100,78700,29114869
791,100,79200,29969456
796,100,79700,69386490
801,100,80200,48504154
806,100,80700,19718670
811,100,81200,33661436
816,100,81700,50882196
821,100,82200,40034558
826,100,82700,29425506
831,100,83200,26536634
836,100,83700,42977960
841,100,84200,46598255
846,100,84700,23232975
851,100,85200,23538111
856,100,85700,44231728
861,100,86200,49186933
866,100,86700,18841410
871,100,87200,32264238
876,100,87700,36672779
881,100,88200,35407409
886,100,88700,46298219
891,100,89200,23066962
896,100,89700,23168370
901,100,90200,41819498
906,100,90700,43657966
911,100,91200,44796431
916,100,91700,34919480
921,100,92200,36423131
926,100,92700,22113558
931,100,93200,30026507
936,100,93700,26909313
941,100,94200,30111480
946,100,94700,31012580
951,100,95200,34992225
956,100,95700,19364765
961,100,96200,22684379
966,100,96700,20956212
971,100,97200,32557071
976,100,97700,17469231
981,100,98200,23125878
986,100,98700,17800854
991,100,99200,36586412
996,100,99700,42674498
