seconds,nanoseconds
0,74905
0,24987
0,8850
0,7356
0,7316
0,10455
0,7725
0,7761
0,8737
0,7476
0,7763
0,8067
0,7633
0,7480
0,7678
0,7457
0,7609
0,7210
0,7849
0,7343
0,7566
0,7325
0,7263
0,7382
0,7348
0,6906
0,7545
0,7366
0,7236
0,7336
0,7558
0,7153
0,7561
0,7403
0,7373
0,7620
0,7686
0,7090
0,7633
0,7226
0,7393
0,7476
0,7470
0,7375
0,7466
0,7274
0,7699
0,7578
0,7548
0,7154
0,7553
0,7077
0,7326
0,7260
0,7354
0,6976
0,7302
0,7227
0,7401
0,8069
0,7300
0,7219
0,7405
0,7764
0,7285
0,7592
0,7432
0,7287
0,7225
0,7056
0,7399
0,8004
0,7174
0,7221
0,7749
0,7571
0,7588
0,7181
0,7394
0,7438
0,7535
0,7090
0,7463
0,7416
0,9451
0,7168
0,7619
0,7273
0,7516
0,7320
0,7444
0,7504
0,7350
0,7312
0,7065
0,7509
0,7576
0,7223
0,7198
0,7890
