seconds,nanoseconds
0,173423
0,25264
0,20327
0,18972
0,23484
0,19452
0,18947
0,1037775
0,20081
0,19348
0,18750
0,24737
0,18975
0,18597
0,1036368
0,19674
0,1036107
0,20003
0,18790
0,18396
0,18586
0,18794
0,19123
0,19318
0,38420
0,22013
0,20522
0,19524
0,19817
0,19201
0,19544
0,19348
0,1031426
0,19461
0,18810
0,24073
0,19060
0,19046
0,18943
0,1035083
0,1039735
0,19662
0,19352
0,19582
0,19206
0,19140
0,19090
0,19923
0,19619
0,19100
0,1047083
0,21121
0,18627
0,1036045
0,20509
0,19351
0,19090
0,18993
0,19456
0,18672
0,93207
0,21753
0,18985
0,19667
0,21694
0,19509
0,18865
0,20103
0,18376
0,1031498
0,18850
0,18745
0,18584
0,18012
0,19037
0,18705
0,18734
0,18541
0,18635
0,782621
0,49000
0,20308
0,19161
0,20166
0,19169
0,1033444
0,19203
0,18484
0,18877
0,18855
0,1036920
0,19566
0,18652
0,18529
0,18657
0,18459
0,19233
0,18083
0,18596
0,18461
