seconds,nanoseconds
0,508454
0,1381643
0,328940
0,4405216
0,397148
0,3399894
0,369583
0,1319363
0,332365
0,2399904
0,1381888
0,327558
0,2378618
0,2385978
0,1344963
0,328374
0,286482
0,1360573
0,1405295
0,1388992
0,291874
0,319904
0,2349893
0,1336103
0,327147
0,2352369
0,1355616
0,1421417
0,282656
0,294990
0,290547
0,313845
0,275874
0,297906
0,1340772
0,324099
0,2290743
0,2305117
0,3318574
0,294721
0,1303972
0,5340159
0,3409814
0,340110
0,1305008
0,1336560
0,328811
0,2311557
0,304612
0,1326168
0,337698
0,7336314
0,344509
0,1299595
0,2318988
0,2304589
0,3355849
0,327228
0,1347251
0,331115
0,1313882
0,1305545
0,342671
0,2316817
0,1305390
0,3357166
0,2319762
0,4330225
0,328520
0,287161
0,326696
0,324284
0,278620
0,1288102
0,1284437
0,272429
0,2290691
0,314685
0,312204
0,1296805
0,306275
0,312737
0,2292265
0,274846
0,311606
0,295139
0,272449
0,304202
0,1281749
0,1286319
0,296616
0,312759
0,288733
0,267635
0,322531
0,267425
0,4322535
0,327917
0,2391506
0,1276295
